Week Starting,Company,State,City,Users,Transactions,Dollars,ASP,,,
12/30/13,Pink Cab,GA,ATLANTA GA, 72 , 114 ," 1,236 ", 10.84 ,,,
12/30/13,Pink Cab,TX,AUSTIN TX, 12 , 21 , 240 , 11.43 ,,,
12/30/13,Pink Cab,MA,BOSTON MA, 165 , 345 ," 4,308 ", 12.49 ,,,
12/30/13,Pink Cab,IL,CHICAGO IL, 390 , 654 ," 10,197 ", 15.59 ,,,
12/30/13,Pink Cab,TX,DALLAS TX, 42 , 90 , 831 , 9.23 ,,,
12/30/13,Pink Cab,CO,DENVER CO, 36 , 63 , 555 , 8.81 ,,,
12/30/13,Pink Cab,CA,LOS ANGELES CA, 804 ," 1,410 "," 22,767 ", 16.15 ,,,
12/30/13,Pink Cab,FL,MIAMI FL, 12 , 45 , 621 , 13.80 ,,,
12/30/13,Pink Cab,TN,NASHVILLE TN, 12 , 18 , 213 , 11.83 ,,,
12/30/13,Pink Cab,NY,NEW YORK NY, 204 , 447 ," 6,813 ", 15.24 ,,,
12/30/13,Pink Cab,CA,ORANGE COUNTY, 63 , 96 ," 1,743 ", 18.16 ,,,
12/30/13,Pink Cab,AZ,PHOENIX AZ, 30 , 42 , 564 , 13.43 ,,,
12/30/13,Pink Cab,PA,PITTSBURGH PA, 6 , 15 , 273 , 18.20 ,,,
12/30/13,Pink Cab,CA,SACRAMENTO CA, 30 , 51 , 747 , 14.65 ,,,
12/30/13,Pink Cab,CA,SAN DIEGO CA, 456 , 729 ," 12,645 ", 17.35 ,,,
12/30/13,Pink Cab,CA,SAN FRANCISCO CA," 1,524 "," 3,204 "," 46,041 ", 14.37 ,,,
12/30/13,Pink Cab,WA,SEATTLE WA, 171 , 288 ," 3,297 ", 11.45 ,,,
12/30/13,Pink Cab,CA,SILICON VALLEY, 132 , 213 ," 3,972 ", 18.65 ,,,
12/30/13,Pink Cab,Total US,Total US," 5,847 "," 10,959 "," 161,736 ", 14.76 ,,,
12/30/13,Pink Cab,AZ,TUCSON AZ, 15 , 24 , 360 , 15.00 ,,,
12/30/13,Pink Cab,DC,WASHINGTON DC, 117 , 246 ," 2,952 ", 12.00 ,,,
12/30/13,Yellow Cab,GA,ATLANTA GA, 248 , 434 ," 12,118 ", 27.92 ,,,
12/30/13,Yellow Cab,TX,AUSTIN TX, 44 , 101 ," 2,364 ", 23.40 ,,,
12/30/13,Yellow Cab,MA,BOSTON MA, 644 ," 1,432 "," 24,893 ", 17.38 ,,,
12/30/13,Yellow Cab,IL,CHICAGO IL," 1,740 "," 3,741 "," 76,172 ", 20.36 ,,,
12/30/13,Yellow Cab,TX,DALLAS TX, 311 , 597 ," 17,026 ", 28.52 ,,,
12/30/13,Yellow Cab,CO,DENVER CO, 90 , 152 ," 4,649 ", 30.58 ,,,
12/30/13,Yellow Cab,CA,LOS ANGELES CA," 1,053 "," 2,290 "," 58,741 ", 25.65 ,,,
12/30/13,Yellow Cab,FL,MIAMI FL, 48 , 87 ," 2,225 ", 25.57 ,,,
12/30/13,Yellow Cab,TN,NASHVILLE TN, 21 , 29 , 961 , 33.15 ,,,
12/30/13,Yellow Cab,NY,NEW YORK NY," 2,229 "," 4,362 "," 128,593 ", 29.48 ,,,
12/30/13,Yellow Cab,CA,ORANGE COUNTY, 64 , 111 ," 3,183 ", 28.68 ,,,
12/30/13,Yellow Cab,AZ,PHOENIX AZ, 34 , 63 ," 1,595 ", 25.32 ,,,
12/30/13,Yellow Cab,PA,PITTSBURGH PA, 8 , 12 , 429 , 35.76 ,,,
12/30/13,Yellow Cab,CA,SACRAMENTO CA, 34 , 62 ," 1,307 ", 21.08 ,,,
12/30/13,Yellow Cab,CA,SAN DIEGO CA, 402 , 874 ," 20,432 ", 23.38 ,,,
12/30/13,Yellow Cab,CA,SAN FRANCISCO CA," 1,340 "," 3,326 "," 60,892 ", 18.31 ,,,
12/30/13,Yellow Cab,WA,SEATTLE WA, 208 , 433 ," 10,726 ", 24.77 ,,,
12/30/13,Yellow Cab,CA,SILICON VALLEY, 129 , 250 ," 7,618 ", 30.47 ,,,
12/30/13,Yellow Cab,Total US,Total US," 14,299 "," 29,661 "," 714,243 ", 24.08 ,,,
12/30/13,Yellow Cab,AZ,TUCSON AZ, 24 , 55 ," 1,358 ", 24.69 ,,,
