,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,1st_APPEARANCE,YEAR,DC_MV
0,Spider-Man (Peter Parker),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Straight,Living Characters,4043.0,8,1962.0,1
1,Captain America (Steven Rogers),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Straight,Living Characters,3360.0,3,1941.0,1
2,"Wolverine (James \""Logan\"" Howlett)",Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,3061.0,10,1974.0,1
3,"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,2961.0,3,1963.0,1
4,Thor (Thor Odinson),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,2258.0,11,1950.0,1
5,Benjamin Grimm (Earth-616),Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,Straight,Living Characters,2255.0,11,1961.0,1
6,Reed Richards (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,2072.0,11,1961.0,1
7,Hulk (Robert Bruce Banner),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,2017.0,5,1962.0,1
8,Scott Summers (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,1955.0,9,1963.0,1
9,Jonathan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,1934.0,11,1961.0,1
10,Henry McCoy (Earth-616),Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,Straight,Living Characters,1825.0,9,1963.0,1
11,Susan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,1713.0,11,1961.0,1
13,Ororo Munroe (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Straight,Living Characters,1512.0,5,1975.0,1
14,Clinton Barton (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,1394.0,9,1964.0,1
15,Matthew Murdock (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Straight,Living Characters,1338.0,4,1964.0,1
16,Stephen Strange (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Straight,Living Characters,1307.0,7,1963.0,1
17,Mary Jane Watson (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Straight,Living Characters,1304.0,6,1965.0,1
18,John Jonah Jameson (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,1266.0,3,1963.0,1
19,Robert Drake (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,1265.0,9,1963.0,1
20,Henry Pym (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,1237.0,1,1962.0,1
21,Charles Xavier (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Straight,Deceased Characters,1233.0,9,1963.0,1
22,Warren Worthington III (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,1230.0,9,1963.0,1
23,Piotr Rasputin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,1162.0,5,1975.0,1
24,Wanda Maximoff (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Straight,Living Characters,1161.0,3,1964.0,1
25,Nicholas Fury (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,1137.0,5,1963.0,1
26,Janet van Dyne (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Straight,Living Characters,1120.0,6,1963.0,1
27,Jean Grey (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Straight,Deceased Characters,1107.0,9,1963.0,1
28,Natalia Romanova (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050.0,4,1964.0,1
29,Kurt Wagner (Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,Straight,Living Characters,1047.0,5,1975.0,1
30,Vision (Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,Straight,Living Characters,1007.0,10,1968.0,1
31,May Reilly (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,Straight,Living Characters,1000.0,8,1962.0,1
32,Katherine Pryde (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Straight,Living Characters,886.0,1,1980.0,1
33,Carol Danvers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,881.0,3,1968.0,1
34,Jennifer Walters (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Straight,Living Characters,881.0,2,1980.0,1
35,Emma Frost (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Straight,Living Characters,880.0,1,1980.0,1
36,Frank Castle (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,878.0,2,1974.0,1
37,Luke Cage (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,856.0,6,1972.0,1
39,Conan (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,787.0,10,1970.0,1
40,Joseph Robertson (Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Straight,Living Characters,752.0,8,1967.0,1
41,Pietro Maximoff (Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,Straight,Living Characters,740.0,3,1964.0,1
42,Hercules (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725.0,10,1965.0,1
43,Victor von Doom (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,721.0,7,1962.0,1
44,Max Eisenhardt (Earth-616),Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,Straight,Living Characters,709.0,9,1963.0,1
45,Elizabeth Braddock (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708.0,12,1976.0,1
46,Norrin Radd (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Straight,Living Characters,696.0,3,1966.0,1
47,Norman Osborn (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Straight,Living Characters,692.0,7,1964.0,1
48,Eugene Thompson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Straight,Living Characters,689.0,8,1962.0,1
49,Simon Williams (Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,Straight,Living Characters,686.0,10,1964.0,1
50,Samuel Guthrie (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,657.0,11,1982.0,1
51,James Buchanan Barnes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,641.0,3,1941.0,1
52,Remy LeBeau (Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,Straight,Living Characters,636.0,7,1990.0,1
53,Daniel Rand (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,618.0,5,1974.0,1
54,Nathan Summers (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Straight,Living Characters,612.0,1,1986.0,1
55,Elizabeth Brant (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Straight,Living Characters,599.0,9,1963.0,1
56,Richard Jones (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,590.0,5,1962.0,1
57,Edwin Jarvis (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Straight,Living Characters,567.0,11,1964.0,1
58,Alexander Summers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,558.0,3,1969.0,1
59,Patricia Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Straight,Living Characters,550.0,11,1944.0,1
60,Human Torch (Android) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,548.0,10,1939.0,1
61,Loki Laufeyson (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532.0,8,1949.0,1
62,Franklin Nelson (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,Straight,Living Characters,528.0,4,1964.0,1
